second,median,mad
9,84.483012,3.67662
10,84.553528,4.066206
11,84.625167,4.291284
12,84.697679,4.492732
13,84.758314,4.544359
14,84.803565,4.690313
15,84.862558,4.803753
16,84.840537,4.822543
17,84.920327,4.904816
18,84.886698,5.017245
19,84.951664,5.046571
20,84.952872,5.11964
21,85.075062,5.165737
22,85.152504,5.213753
23,85.053736,5.266035
24,85.131095,5.350675
25,85.110646,5.411481
26,85.120251,5.533551
27,85.106424,5.576364
28,85.137136,5.665102
29,85.119395,5.735813
30,85.18799,5.677212
31,85.226947,5.768861
32,85.357993,5.781511
33,85.303742,5.818751
34,85.336726,5.876239
35,85.32234,5.958614
36,85.445221,6.043141
37,85.443331,6.06462
38,85.499914,6.186253
39,85.615357,6.229806
40,85.576699,6.343029
41,85.6653,6.419931
42,85.648552,6.570935
43,85.628265,6.597528
44,85.592033,6.627359
45,85.693462,6.658247
46,85.664011,6.67773
47,85.647432,6.740262
48,85.705844,6.802441
49,85.791367,6.805171
50,85.863928,6.843001
51,85.962001,6.92259
52,86.038875,7.048041
53,86.094489,7.063406
54,86.035797,7.098252
55,86.061911,7.090906
56,86.111808,7.168936
57,86.190165,7.227625
58,86.242062,7.23415
59,86.266467,7.313776
60,86.302949,7.343764
61,86.303442,7.351156
62,86.280937,7.355881
63,86.263571,7.473608
64,86.140736,7.454865
65,86.121476,7.543963
66,86.136638,7.50399
67,86.147505,7.471838
68,86.154397,7.584718
69,86.144854,7.635798
70,86.219576,7.669035
71,86.315394,7.697674
72,86.274577,7.685118
73,86.358326,7.812223
74,86.428258,7.857759
75,86.470499,7.930589
76,86.455933,7.97732
77,86.466866,8.038208
78,86.447691,8.094488
79,86.594682,8.091048
80,86.577488,8.203819
81,86.57878,8.209739
82,86.624929,8.209757
83,86.776553,8.250659
84,86.876769,8.315282
85,86.821458,8.247167
86,86.798504,8.296137
87,86.723515,8.455772
88,86.665985,8.519467
89,86.802123,8.631619
90,86.767545,8.694367
91,86.772334,8.778725
92,86.804311,8.920314
93,86.781732,9.038822
94,86.778581,9.167506
95,86.713923,9.293682
96,86.703941,9.378548
97,86.768539,9.379562
98,86.867298,9.390552
99,86.829732,9.32743
100,86.790571,9.32189
101,86.779303,9.345837
102,86.667865,9.375511
103,86.733702,9.412678
104,86.775907,9.483792
105,86.699429,9.463581
106,86.731831,9.50256
107,86.65416,9.493025
108,86.767626,9.508317
109,86.817583,9.530787
110,86.729604,9.562402
111,86.728051,9.681492
112,86.736012,9.747577
113,86.82767,9.764
114,86.683215,9.82598
115,86.55866,9.843862
116,86.527663,9.897025
117,86.623019,9.965991
118,86.55262,9.933998
119,86.514633,9.9331
120,86.491495,9.897427
121,86.463523,9.908008
122,86.460003,9.966361
123,86.480316,9.896755
124,86.495695,9.937238
125,86.504034,10.014081
126,86.546143,10.074991
127,86.670116,10.164589
128,86.580371,10.196241
129,86.703286,10.157471
130,86.670614,10.231844
131,86.561519,10.326769
132,86.542566,10.34525
133,86.572604,10.396255
134,86.567287,10.384237
135,86.61578,10.473931
136,86.611468,10.484203
137,86.533268,10.449829
138,86.367019,10.414714
139,86.561893,10.461365
140,86.45644,10.48014
141,86.415821,10.606003
142,86.365974,10.635782
143,86.378756,10.662518
144,86.297611,10.71392
145,86.412892,10.760545
146,86.356217,10.761841
147,86.386342,10.806382
148,86.307168,10.721395
149,86.438289,10.813201
150,86.498303,10.909316
151,86.479416,10.977433
152,86.554782,11.095322
153,86.650453,11.186905
154,86.644817,11.168379
155,86.652643,11.076406
156,86.570734,11.059239
157,86.638877,11.094523
158,86.755825,11.061423
159,86.694658,10.997771
160,86.653796,10.945599
