second,median,mad
9,27.484022,12.021134
10,23.943757,11.046121
11,21.74663,10.462623
12,19.90495,10.086842
13,18.064654,9.539562
14,17.135419,9.488002
15,16.206165,9.060083
16,15.412065,9.14293
17,14.673947,9.101928
18,14.648192,9.289451
19,14.351481,9.07418
20,14.204318,8.972679
21,14.131917,9.097541
22,13.996629,8.986603
23,13.79032,8.73605
24,13.52803,8.607852
25,13.008568,8.399442
26,12.661461,8.211127
27,12.69806,8.36828
28,12.555274,8.260439
29,12.592289,8.566155
30,12.547558,8.653395
31,12.442001,8.584223
32,12.338629,8.590726
33,12.172342,8.740486
34,12.03462,8.497189
35,12.022887,8.532479
36,12.215809,8.743949
37,11.92051,8.588237
38,12.175857,8.623876
39,12.170824,8.719226
40,12.238426,8.585252
41,12.217878,8.606222
42,12.298219,8.661671
43,11.947997,8.357999
44,12.077055,8.368323
45,12.081578,8.459856
46,11.931414,8.393225
47,12.052007,8.443149
48,12.257085,8.516442
49,12.105258,8.550976
50,12.061127,8.646073
51,11.927261,8.54769
52,11.836271,8.352852
53,11.612367,8.264592
54,11.547192,8.357868
55,11.499913,8.219282
56,11.467684,8.084879
57,11.492565,7.972953
58,11.287043,8.098776
59,11.600391,8.072313
60,11.600682,8.013808
61,11.622936,8.116305
62,11.588602,8.122754
63,11.468374,8.008099
64,11.505647,8.08159
65,11.605618,7.988021
66,11.423775,7.999615
67,11.491378,8.117778
68,11.47678,7.990718
69,11.076593,7.729646
70,11.276775,7.924685
71,11.203466,7.866479
72,11.217481,7.811624
73,11.199236,7.920949
74,10.994608,7.976773
75,11.228842,7.952829
76,11.199875,7.944505
77,11.297639,7.966308
78,11.674648,8.022473
79,11.754869,8.05691
80,11.561594,8.12867
81,11.520327,7.953853
82,11.26017,7.845245
83,11.318673,7.726703
84,10.938056,7.54078
85,11.133348,7.784627
86,11.033521,7.66234
87,10.832924,7.606307
88,10.917978,7.587652
89,10.745198,7.484465
90,10.491125,7.261809
91,10.538485,7.076063
92,10.159322,6.938885
93,10.207039,7.101977
94,10.372896,7.118296
95,10.386062,7.241275
96,10.532654,7.361384
97,10.501238,7.293349
98,10.625165,7.438364
99,10.870444,7.48631
100,10.777963,7.531842
101,10.898299,7.615284
102,10.599411,7.575824
103,10.523418,7.399942
104,10.495358,7.445714
105,10.266975,7.483313
106,10.130566,7.430817
107,10.279425,7.414417
108,10.479183,7.608544
109,10.296131,7.508811
110,10.255629,7.382653
111,10.312988,7.389461
112,10.284199,7.331046
113,10.390854,7.40201
114,10.317689,7.301345
115,10.159,7.142858
116,10.144815,7.170928
117,10.247957,7.209256
118,10.246618,7.129978
119,10.207027,7.223335
120,9.955325,7.055997
121,9.863765,7.041866
122,10.014452,7.060476
123,9.826059,7.066761
124,9.907523,6.979247
125,9.993103,6.989718
126,9.826478,6.953179
127,9.735772,7.035308
128,9.720244,7.036271
129,9.733139,6.850427
130,9.658738,6.716799
131,9.727554,6.720117
132,9.582619,6.699771
133,9.688209,6.777153
134,9.635742,6.769643
135,9.518305,6.794543
136,9.720703,6.776082
137,9.423737,6.626123
138,9.526882,6.660783
139,9.487837,6.740019
140,9.61646,6.692513
141,9.466202,6.593469
142,9.31965,6.588733
143,9.320403,6.527836
144,9.294176,6.465096
145,9.181453,6.409177
146,9.153188,6.443794
147,9.146161,6.448085
148,9.041639,6.436546
149,9.121496,6.332963
150,8.965604,6.219451
151,9.211924,6.401066
152,9.195607,6.548837
153,9.085356,6.494025
154,9.095091,6.539391
155,9.033921,6.426708
156,9.05418,6.476305
157,8.846508,6.384443
158,8.849163,6.425565
159,8.762053,6.392983
160,8.856339,6.423242
161,8.788314,6.401177
162,8.813486,6.34391
163,8.804636,6.379774
164,8.88087,6.269391
165,8.842143,6.232548
166,8.947453,6.268961
167,8.786129,6.431559
168,8.832798,6.433702
169,8.941154,6.583331
170,8.863104,6.451159
171,8.940607,6.610191
172,8.848631,6.524676
173,8.947476,6.589449
174,8.953772,6.526914
175,8.84462,6.450714
176,8.656138,6.260422
177,8.812354,6.376436
178,8.681814,6.361066
179,8.812512,6.464734
180,8.68462,6.391766
181,8.671937,6.324869
182,8.666656,6.463635
183,8.659036,6.415452
184,8.734568,6.515914
185,8.616113,6.255704
186,8.708967,6.283231
187,8.482085,6.118909
188,8.367393,6.151893
189,8.279968,6.112872
190,8.206885,6.079346
191,8.583577,6.238082
192,8.569528,6.270535
193,8.442449,6.183429
194,8.40106,6.226477
195,8.435729,6.114732
196,8.263517,6.037866
197,8.609658,6.193829
198,8.456211,6.145993
199,8.207284,5.987098
200,8.163703,5.996841
201,8.259072,6.061989
202,8.165364,6.015311
203,8.262814,6.05086
204,8.40637,6.138661
205,8.591134,6.269812
206,8.643272,6.333534
207,8.805414,6.345328
208,8.813839,6.273077
209,8.869587,6.320588
210,8.731014,6.294356
211,8.483055,6.059993
212,8.601564,6.19445
213,8.397552,6.07937
214,8.274764,5.889084
215,8.116743,5.899461
216,8.217945,5.967814
217,8.052052,5.942573
218,7.686041,5.829665
219,7.803794,5.903574
220,7.644064,5.681736
221,7.885226,5.74567
222,7.844383,5.783873
223,7.81407,5.690492
224,7.873134,5.746691
225,7.869381,5.84688
226,7.711765,5.696708
227,7.730045,5.703758
228,7.787072,5.875459
229,7.782965,5.825376
230,7.909912,5.98087
231,7.708304,5.87952
232,7.559122,5.8722
233,7.742976,6.04265
234,7.805767,6.049575
235,7.613338,5.860094
236,7.638225,5.809047
237,7.590795,5.842047
238,7.553654,5.840253
239,7.509012,5.857155
240,7.45679,5.753706
241,7.48964,5.776835
242,7.680801,5.917658
243,7.400202,5.734774
244,7.27705,5.693683
245,7.281054,5.800551
246,7.220436,5.645082
247,7.216676,5.504212
248,7.113934,5.445344
249,7.106589,5.375978
250,6.892017,5.319287
251,7.007465,5.347911
252,7.108538,5.37574
253,7.237597,5.419816
254,7.068136,5.428969
255,7.048359,5.397208
256,7.11848,5.453594
257,7.133122,5.524616
258,7.152029,5.526461
259,7.232051,5.548987
260,7.241843,5.45638
261,7.287964,5.472965
262,7.286592,5.481043
263,7.201842,5.517088
264,7.123588,5.460588
265,7.039367,5.490105
266,6.965674,5.346855
267,6.989755,5.322693
268,6.878813,5.30499
269,6.947841,5.28184
270,7.368374,5.544613
271,7.218094,5.55638
272,7.1888,5.560202
273,7.082983,5.442533
274,7.077685,5.490287
275,7.039036,5.50209
276,7.105532,5.487751
277,6.757114,5.350947
278,6.587101,5.25151
279,6.558325,5.141199
280,6.615403,5.152823
281,6.556016,5.113072
282,6.562348,5.113256
283,6.573769,5.145279
284,6.570633,5.144084
285,6.54608,5.086464
286,6.443238,5.166567
287,6.531517,5.193832
288,6.458273,5.178382
289,6.382791,5.214656
290,6.376592,5.233042
291,6.518915,5.311893
292,6.452272,5.314272
293,6.453668,5.30093
294,6.564257,5.289898
295,6.573433,5.329601
296,6.565757,5.298199
297,6.499704,5.149714
298,6.559162,5.230082
299,6.502003,5.146448
300,6.385407,5.018102
301,6.429961,5.067316
302,6.566757,5.116475
303,6.529451,5.090718
304,6.626826,5.075947
305,6.633025,5.126379
306,6.633794,5.142702
307,6.646183,5.140109
308,6.528818,5.104649
309,6.544763,5.031277
310,6.302877,5.006119
311,6.313006,5.007534
312,6.248375,4.96428
313,6.28161,4.948775
314,6.206796,5.033304
315,6.247793,5.1125
316,6.118557,5.012227
317,5.949033,4.860855
318,5.901822,4.851974
319,6.034617,4.931625
320,6.189725,5.055596
321,6.059055,4.894068
322,6.081222,4.970382
323,5.869595,4.887078
324,5.989066,4.912001
325,6.054646,4.922221
326,5.963763,4.909179
327,6.005724,4.892808
328,5.961129,4.867271
329,6.054942,4.877604
330,5.994939,4.831149
331,6.105079,4.861692
332,6.003476,4.792171
333,6.044355,4.881229
334,6.125784,4.947532
335,6.138332,4.914944
336,6.222546,5.02125
337,5.868601,4.878714
338,5.982778,4.970384
339,6.027112,4.94181
340,5.872063,4.891212
341,5.939053,4.940269
342,5.82248,4.844834
343,5.870399,4.878603
344,5.737782,4.787023
345,5.874583,4.807693
346,5.88246,4.720991
347,5.931127,4.773062
348,6.040342,4.799446
349,6.108767,4.892015
350,5.980512,4.758216
351,6.004164,4.888778
352,5.875078,4.842313
353,5.844012,4.822632
354,5.850364,4.819207
355,5.881864,4.850707
356,5.914675,4.90846
357,5.857104,4.893608
358,5.927749,4.892477
359,5.867383,4.801492
360,5.844708,4.779645
361,5.794638,4.718712
362,5.845123,4.739276
363,5.860119,4.799084
364,5.92726,4.812085
365,5.835908,4.748869
366,5.903616,4.800476
367,5.846037,4.756355
368,5.846028,4.757404
369,5.794145,4.706201
370,5.821637,4.690829
371,5.692752,4.587506
372,5.556688,4.495661
373,5.533178,4.484846
374,5.452357,4.445482
375,5.347999,4.387087
376,5.353186,4.460411
377,5.40663,4.408251
378,5.590294,4.550115
379,5.530463,4.568145
380,5.44364,4.586495
381,5.730172,4.775078
382,5.615272,4.81291
383,5.764893,4.818567
384,5.501054,4.602682
385,5.464054,4.60164
386,5.386807,4.614799
387,5.455797,4.661155
388,5.603943,4.614115
389,5.584044,4.590425
390,5.657263,4.693338
391,5.702289,4.709986
392,5.718991,4.740855
393,5.612442,4.684498
394,5.71871,4.814239
395,5.600915,4.779706
396,5.490594,4.680693
397,5.44188,4.670961
398,5.46357,4.610888
399,5.381172,4.597541
400,5.487031,4.746728
401,5.50855,4.711526
402,5.525266,4.708671
403,5.523128,4.726544
404,5.403438,4.662651
405,5.446822,4.65249
406,5.416759,4.604155
407,5.517404,4.670381
408,5.425293,4.589681
409,5.522831,4.632255
410,5.333627,4.506
411,5.395461,4.443176
412,5.353567,4.399279
413,5.331434,4.367366
414,5.544762,4.499509
415,5.500604,4.546014
416,5.425071,4.457085
417,5.191108,4.354964
418,5.157707,4.374223
419,5.169906,4.370482
420,5.127071,4.339748
421,5.065942,4.356123
422,5.083826,4.289019
423,5.143041,4.324327
424,5.317064,4.477386
425,5.24941,4.455222
426,5.252574,4.472266
427,5.252904,4.517494
428,5.223195,4.507277
429,5.208989,4.524732
430,5.156328,4.470235
431,5.337776,4.543028
432,5.29571,4.540106
433,5.34327,4.560638
434,5.319879,4.573456
435,5.228616,4.499353
436,5.212253,4.541215
437,5.324142,4.611655
438,5.246845,4.566977
439,5.069718,4.445519
440,5.247745,4.504912
441,5.027517,4.312243
442,5.096401,4.325244
443,4.989433,4.295026
444,4.892129,4.276127
445,4.886872,4.280104
446,4.924976,4.322013
447,4.878478,4.295024
448,4.990169,4.349736
449,5.066461,4.452856
450,5.130135,4.480685
451,5.196974,4.527216
452,5.196169,4.554283
453,5.100071,4.471672
454,5.002475,4.39385
455,4.981451,4.396672
456,4.968457,4.39144
457,5.116923,4.479258
458,4.878617,4.345572
459,4.996607,4.433598
460,5.019215,4.40026
461,5.004118,4.312148
462,5.033,4.352009
463,5.010934,4.368862
464,5.048909,4.385957
465,5.001018,4.35514
466,4.926346,4.365585
467,4.980876,4.348376
468,5.023154,4.339874
469,4.972787,4.352813
470,4.992585,4.422976
471,4.959507,4.404634
472,4.980499,4.394056
473,4.925709,4.325335
474,4.951252,4.352144
475,4.883729,4.310599
476,4.803311,4.225543
477,4.716198,4.154383
478,4.680799,4.164734
479,4.726666,4.167198
480,4.712004,4.189647
481,4.651648,4.117324
482,4.717211,4.147066
483,4.850458,4.238459
484,4.882619,4.304303
485,4.936958,4.355958
486,4.821743,4.328937
487,4.91782,4.374531
488,4.952757,4.364461
489,4.91791,4.374058
490,4.924203,4.342701
491,4.956736,4.414864
492,4.94654,4.397287
493,4.927712,4.35117
494,4.73241,4.232024
495,4.750324,4.222477
496,4.794741,4.269512
497,4.674816,4.202484
498,4.614422,4.175503
499,4.741881,4.241881
500,4.636564,4.169461
501,4.6772,4.219291
502,4.615273,4.191536
503,4.792445,4.275144
504,4.648973,4.16921
505,4.83326,4.279594
506,4.58893,4.100764
507,4.549276,4.092538
508,4.59492,4.095648
509,4.615285,4.09475
510,4.616837,4.029223
511,4.641365,4.055576
512,4.663852,4.096842
513,4.663928,4.091545
514,4.610152,4.059333
515,4.622946,4.070493
516,4.571214,4.043836
517,4.565111,4.020318
518,4.588984,4.04547
519,4.520857,4.012419
520,4.499889,4.018509
521,4.47065,4.053556
522,4.531586,4.074262
523,4.52334,4.084641
524,4.496752,4.053636
525,4.470831,4.054301
526,4.538407,4.04479
527,4.544916,4.049162
528,4.538982,4.10753
529,4.495124,4.110135
530,4.504308,4.080066
531,4.42365,3.999408
532,4.29565,3.903294
533,4.419015,3.986394
534,4.283564,3.906678
535,4.385867,3.926931
536,4.351211,3.924066
537,4.296097,3.918599
538,4.403736,3.986954
539,4.351904,3.961145
540,4.441598,4.029755
541,4.598097,4.168503
542,4.580529,4.129825
543,4.488815,4.01164
544,4.520824,4.021048
545,4.414893,4.033165
546,4.400183,4.003353
547,4.385407,4.015835
548,4.353931,3.996836
549,4.469933,4.049421
550,4.456548,4.054324
551,4.348904,3.95792
552,4.397715,3.977289
553,4.238223,3.897142
554,4.129145,3.808805
555,4.120634,3.781885
556,4.004311,3.732891
557,4.149701,3.822045
558,4.225729,3.89606
559,4.156491,3.860763
560,4.206625,3.893359
561,4.000987,3.736838
562,3.953734,3.701268
563,4.019368,3.716686
564,4.062624,3.788489
565,4.054828,3.790616
566,4.074255,3.741266
567,3.979603,3.712588
568,4.006865,3.69165
569,4.062403,3.743696
570,4.082691,3.784344
571,4.07522,3.731289
572,4.144028,3.756538
573,4.164137,3.766697
574,4.027097,3.688226
575,3.973669,3.669295
576,4.066471,3.76108
577,3.968839,3.68827
578,3.992804,3.7189
579,3.918624,3.635275
580,3.830417,3.541335
581,3.936993,3.614097
582,3.890654,3.599734
583,3.845414,3.607118
584,3.900731,3.649208
585,4.044723,3.758769
586,4.017607,3.713144
587,4.026816,3.726821
588,4.127736,3.779733
589,4.109381,3.757489
590,4.093407,3.746758
591,4.140482,3.774268
592,4.243045,3.832806
593,4.156004,3.789497
594,4.258124,3.91465
595,4.078034,3.800186
596,4.132549,3.84478
597,4.230606,3.910131
598,4.203701,3.892221
599,4.257063,3.897512
