second,median,mad
9,67.0,23.0
10,59.0,24.0
11,54.0,23.0
12,49.0,23.0
13,47.0,23.0
14,45.0,23.0
15,44.0,23.0
16,43.0,22.0
17,42.0,22.0
18,42.0,22.0
19,41.0,22.0
20,41.0,23.0
21,40.0,22.0
22,40.0,23.0
23,40.0,23.0
24,39.0,22.0
25,38.0,22.0
26,37.0,22.0
27,36.0,21.0
28,36.0,22.0
29,36.0,22.0
30,36.0,22.0
31,36.0,22.0
32,37.0,22.0
33,37.0,22.0
34,37.0,22.0
35,37.0,22.0
36,37.0,22.0
37,38.0,23.0
38,38.0,23.0
39,38.0,23.0
40,38.0,23.0
41,38.0,23.0
42,38.0,23.0
43,37.0,23.0
44,37.0,23.0
45,37.0,22.0
46,37.0,22.0
47,37.0,22.0
48,37.0,22.0
49,37.0,22.0
50,37.0,23.0
51,37.0,23.0
52,37.0,23.0
53,36.0,22.0
54,36.0,22.0
55,36.0,22.0
56,35.0,22.0
57,35.0,22.0
58,35.0,22.0
59,35.0,22.0
60,35.0,22.0
61,36.0,22.0
62,36.0,22.0
63,37.0,22.0
64,37.0,23.0
65,36.0,22.0
66,37.0,22.0
67,37.0,22.0
68,36.0,22.0
69,36.0,22.0
70,36.0,22.0
71,36.0,22.0
72,36.0,22.0
73,36.0,22.0
74,35.0,22.0
75,35.0,22.0
76,35.0,22.0
77,35.0,22.0
78,35.0,22.0
79,35.0,22.0
80,35.0,21.0
81,35.0,22.0
82,35.0,22.0
83,34.0,21.0
84,34.0,21.0
85,33.0,21.0
86,33.0,21.0
87,33.0,21.0
88,33.0,21.0
89,33.0,21.0
90,32.0,21.0
91,32.0,21.0
92,33.0,21.0
93,33.0,21.0
94,33.0,21.0
95,33.0,21.0
96,33.0,21.0
97,33.0,21.0
98,33.0,21.0
99,33.0,21.0
100,33.0,21.0
101,33.0,21.0
102,33.0,21.0
103,32.0,21.0
104,32.0,20.0
105,31.0,20.0
106,31.0,20.0
107,31.0,20.0
108,31.0,20.0
109,31.0,20.0
110,31.0,20.0
111,30.0,20.0
112,30.0,20.0
113,30.0,20.0
114,31.0,20.0
115,31.0,20.0
116,30.0,20.0
117,30.0,20.0
118,30.0,20.0
119,30.0,20.0
120,30.0,20.0
121,30.0,20.0
122,30.0,19.0
123,30.0,20.0
124,30.0,19.0
125,30.0,20.0
126,30.0,19.0
127,30.0,19.0
128,30.0,19.0
129,30.0,19.0
130,30.0,19.0
131,29.0,19.0
132,30.0,19.0
133,29.0,19.0
134,29.0,19.0
135,29.0,19.0
136,29.0,19.0
137,29.0,19.0
138,29.0,19.0
139,29.0,19.0
140,29.0,19.0
141,29.0,19.0
142,29.0,19.0
143,29.0,19.0
144,29.0,19.0
145,28.0,18.0
146,28.0,18.0
147,28.0,19.0
148,28.0,18.0
149,28.0,18.0
150,28.0,18.0
151,28.0,18.0
152,28.0,18.0
153,28.0,19.0
154,28.0,19.0
155,28.0,19.0
156,29.0,19.0
157,28.0,18.0
158,28.0,18.0
159,28.0,18.0
160,28.0,18.0
161,28.0,18.0
162,28.0,18.0
163,28.0,18.0
164,28.0,18.0
165,28.0,18.0
166,28.0,18.0
167,28.0,18.0
168,27.0,18.0
169,28.0,18.0
170,27.0,18.0
171,27.0,18.0
172,27.0,18.0
173,27.0,18.0
174,27.0,18.0
175,27.0,18.0
176,27.0,18.0
177,27.0,18.0
178,27.0,18.0
179,27.0,18.0
180,27.0,17.0
181,26.0,17.0
182,26.0,17.0
183,26.0,17.0
184,27.0,17.0
185,27.0,17.0
186,27.0,17.0
187,27.0,17.0
188,26.0,17.0
189,27.0,17.0
190,26.0,17.0
191,26.0,17.0
192,26.0,17.0
193,26.0,17.0
194,26.0,17.0
195,26.0,17.0
196,25.0,17.0
197,26.0,17.0
198,26.0,17.0
199,26.0,17.0
200,26.0,17.0
201,26.0,17.0
202,26.0,17.0
203,26.0,17.0
204,26.0,17.0
205,26.0,17.0
206,26.0,17.0
207,26.0,17.0
208,26.0,17.0
209,26.0,17.0
210,26.0,17.0
211,26.0,17.0
212,26.0,17.0
213,26.0,18.0
214,25.0,17.0
215,25.0,17.0
216,25.0,17.0
217,25.0,17.0
218,25.0,17.0
219,25.0,17.0
220,24.0,17.0
221,25.0,17.0
222,25.0,17.0
223,25.0,17.0
224,25.0,17.0
225,24.0,16.0
226,24.0,16.0
227,24.0,16.0
228,24.0,16.0
