bucket_id,hour,slot,time_label,token_count,bucket_median,global_median,heat_factor,smooth_heat_factor
0_1,0,1,00:00,23,88.965742,89.156063,0.997865,0.948615
0_2,0,2,00:15,31,76.522669,89.156063,0.8583,0.93592
0_3,0,3,00:30,24,78.880732,89.156063,0.884749,0.936036
0_4,0,4,00:45,26,86.06348,89.156063,0.965313,0.949615
1_1,1,1,01:00,31,90.686289,89.156063,1.017163,0.960765
1_2,1,2,01:15,29,85.639696,89.156063,0.960559,0.969258
1_3,1,3,01:30,26,88.376974,89.156063,0.991262,0.975375
1_4,1,4,01:45,27,81.636297,89.156063,0.915656,0.98109
2_1,2,1,02:00,22,88.615428,89.156063,0.993936,0.994477
2_2,2,2,02:15,32,91.366811,89.156063,1.024796,1.007419
2_3,2,3,02:30,42,97.299984,89.156063,1.091345,1.014656
2_4,2,4,02:45,36,88.153169,89.156063,0.988751,1.00861
3_1,3,1,03:00,27,85.911072,89.156063,0.963603,0.998093
3_2,3,2,03:15,26,88.954586,89.156063,0.99774,0.992294
3_3,3,3,03:30,27,87.275439,89.156063,0.978906,0.988319
3_4,3,4,03:45,23,88.29203,89.156063,0.990309,0.995303
4_1,4,1,04:00,33,89.93636,89.156063,1.008752,1.001941
4_2,4,2,04:15,26,89.143816,89.156063,0.999863,1.008869
4_3,4,3,04:30,12,92.885145,89.156063,1.041826,1.015565
4_4,4,4,04:45,18,87.936799,89.156063,0.986324,1.015185
5_1,5,1,05:00,23,94.375156,89.156063,1.058539,1.017198
5_2,5,2,05:15,14,89.002286,89.156063,0.998275,1.015983
5_3,5,3,05:30,18,88.40181,89.156063,0.99154,1.019026
5_4,5,4,05:45,17,90.994182,89.156063,1.020617,1.02168
6_1,6,1,06:00,20,94.209182,89.156063,1.056677,1.019843
6_2,6,2,06:15,23,94.934754,89.156063,1.064815,1.012394
6_3,6,3,06:30,19,83.36482,89.156063,0.935044,0.996839
6_4,6,4,06:45,32,87.644439,89.156063,0.983045,0.993987
7_1,7,1,07:00,22,86.036889,89.156063,0.965014,0.998172
7_2,7,2,07:15,20,89.304559,89.156063,1.001666,1.008471
7_3,7,3,07:30,24,96.449394,89.156063,1.081804,1.016335
7_4,7,4,07:45,27,94.33192,89.156063,1.058054,1.013018
8_1,8,1,08:00,23,86.585826,89.156063,0.971171,1.005531
8_2,8,2,08:15,18,80.202564,89.156063,0.899575,0.995665
8_3,8,3,08:30,25,93.583256,89.156063,1.049657,1.003676
8_4,8,4,08:45,25,95.070924,89.156063,1.066343,1.012753
9_1,9,1,09:00,15,83.73994,89.156063,0.939251,1.020498
9_2,9,2,09:15,17,96.604211,89.156063,1.083541,1.037781
9_3,9,3,09:30,16,92.235831,89.156063,1.034544,1.03639
9_4,9,4,09:45,26,93.911652,89.156063,1.05334,1.035218
10_1,10,1,10:00,28,94.499223,89.156063,1.05993,1.034875
10_2,10,2,10:15,32,86.367339,89.156063,0.968721,1.02118
10_3,10,3,10:30,25,91.200487,89.156063,1.022931,1.018388
10_4,10,4,10:45,28,93.935938,89.156063,1.053612,1.018358
11_1,11,1,11:00,21,86.211098,89.156063,0.966968,1.014934
11_2,11,2,11:15,20,91.68285,89.156063,1.028341,1.018848
11_3,11,3,11:30,27,94.105843,89.156063,1.055518,1.019141
11_4,11,4,11:45,28,89.11953,89.156063,0.99959,1.014467
12_1,12,1,12:00,31,88.389958,89.156063,0.991407,1.008829
12_2,12,2,12:15,32,91.832596,89.156063,1.030021,1.004497
12_3,12,3,12:30,25,89.926409,89.156063,1.00864,1.003704
12_4,12,4,12:45,41,82.928375,89.156063,0.930148,1.00727
13_1,13,1,13:00,41,92.430135,89.156063,1.036723,1.01977
13_2,13,2,13:15,46,97.032829,89.156063,1.088348,1.03379
13_3,13,3,13:30,42,91.963813,89.156063,1.031493,1.043997
13_4,13,4,13:45,42,89.481718,89.156063,1.003653,1.047119
14_1,14,1,14:00,43,98.638191,89.156063,1.106354,1.045519
14_2,14,2,14:15,39,96.795192,89.156063,1.085683,1.030795
14_3,14,3,14:30,29,83.892766,89.156063,0.940965,1.013465
14_4,14,4,14:45,51,89.299846,89.156063,1.001613,1.009818
15_1,15,1,15:00,45,86.126012,89.156063,0.966014,1.007699
15_2,15,2,15:15,51,92.838208,89.156063,1.0413,1.014553
15_3,15,3,15:30,35,95.342033,89.156063,1.069384,1.015875
15_4,15,4,15:45,51,91.297258,89.156063,1.024016,1.0053
16_1,16,1,16:00,51,86.412831,89.156063,0.969231,0.990217
16_2,16,2,16:15,40,80.990028,89.156063,0.908407,0.979557
16_3,16,3,16:30,36,89.821131,89.156063,1.00746,0.977611
16_4,16,4,16:45,42,86.864186,89.156063,0.974294,0.976854
17_1,17,1,17:00,32,93.007886,89.156063,1.043203,0.978605
17_2,17,2,17:15,41,81.57276,89.156063,0.914943,0.973424
17_3,17,3,17:30,49,85.997564,89.156063,0.964573,0.971427
17_4,17,4,17:45,37,86.007283,89.156063,0.964682,0.972081
18_1,18,1,18:00,41,89.715334,89.156063,1.006273,0.975663
18_2,18,2,18:15,44,86.69608,89.156063,0.972408,0.983189
18_3,18,3,18:30,37,85.957487,89.156063,0.964124,0.984672
18_4,18,4,18:45,45,89.325909,89.156063,1.001905,0.984917
19_1,19,1,19:00,33,92.049528,89.156063,1.032454,0.980107
19_2,19,2,19:15,37,83.198208,89.156063,0.933175,0.969129
19_3,19,3,19:30,35,84.153263,89.156063,0.943887,0.966966
19_4,19,4,19:45,46,85.431636,89.156063,0.958226,0.969725
20_1,20,1,20:00,45,85.58544,89.156063,0.959951,0.979547
20_2,20,2,20:15,42,92.275276,89.156063,1.034986,0.993588
20_3,20,3,20:30,35,89.371284,89.156063,1.002414,0.999695
20_4,20,4,20:45,38,91.610801,89.156063,1.027533,1.000666
21_1,21,1,21:00,40,85.140492,89.156063,0.95496,0.994105
21_2,21,2,21:15,32,90.034397,89.156063,1.009852,0.984348
21_3,21,3,21:30,46,87.263181,89.156063,0.978769,0.973918
21_4,21,4,21:45,35,87.045972,89.156063,0.976333,0.968876
22_1,22,1,22:00,37,80.135494,89.156063,0.898823,0.969839
22_2,22,2,22:15,43,86.833867,89.156063,0.973954,0.98096
22_3,22,3,22:30,21,92.841899,89.156063,1.041341,0.993516
22_4,22,4,22:45,31,91.046826,89.156063,1.021207,0.999179
23_1,23,1,23:00,28,89.620575,89.156063,1.00521,0.99922
23_2,23,2,23:15,36,85.679758,89.156063,0.961009,0.992153
23_3,23,3,23:30,29,88.588841,89.156063,0.993638,0.979476
23_4,23,4,23:45,25,87.027603,89.156063,0.976127,0.962975
