bucket_id,hour,slot,time_label,token_count,bucket_median,global_median,heat_factor,smooth_heat_factor
0_1,0,1,00:00,21,4234.372776,5919.864447,0.715282,0.947008
0_2,0,2,00:15,27,6406.016431,5919.864447,1.082122,0.964201
0_3,0,3,00:30,18,7212.133691,5919.864447,1.218294,0.950805
0_4,0,4,00:45,22,4358.865846,5919.864447,0.736312,0.928157
1_1,1,1,01:00,31,5659.505129,5919.864447,0.956019,0.92742
1_2,1,2,01:15,27,4094.18562,5919.864447,0.691601,0.941941
1_3,1,3,01:30,22,6627.839487,5919.864447,1.119593,1.002967
1_4,1,4,01:45,19,5760.098686,5919.864447,0.973012,1.086161
2_1,2,1,02:00,20,8529.787726,5919.864447,1.440876,1.165558
2_2,2,2,02:15,23,6187.206049,5919.864447,1.04516,1.171375
2_3,2,3,02:30,31,8143.207832,5919.864447,1.375573,1.149093
2_4,2,4,02:45,28,6801.791836,5919.864447,1.148978,1.073316
3_1,3,1,03:00,20,4430.706959,5919.864447,0.748447,0.984663
3_2,3,2,03:15,16,5618.637098,5919.864447,0.949116,0.957208
3_3,3,3,03:30,20,4591.747528,5919.864447,0.775651,0.933399
3_4,3,4,03:45,15,6623.936942,5919.864447,1.118934,0.952577
4_1,4,1,04:00,27,6128.120788,5919.864447,1.035179,0.962442
4_2,4,2,04:15,19,5395.350025,5919.864447,0.911398,0.956432
4_3,4,3,04:30,11,5111.989346,5919.864447,0.863531,0.964754
4_4,4,4,04:45,14,5563.917474,5919.864447,0.939872,0.981413
5_1,5,1,05:00,18,6322.021777,5919.864447,1.067934,1.013093
5_2,5,2,05:15,16,6529.465527,5919.864447,1.102976,1.043925
5_3,5,3,05:30,19,6421.889943,5919.864447,1.084804,1.043213
5_4,5,4,05:45,15,5926.657698,5919.864447,1.001148,1.012476
6_1,6,1,06:00,16,6435.5397,5919.864447,1.087109,0.968048
6_2,6,2,06:15,19,4675.910432,5919.864447,0.789868,0.914568
6_3,6,3,06:30,16,4887.856933,5919.864447,0.82567,0.877915
6_4,6,4,06:45,23,4992.626815,5919.864447,0.843368,0.863044
7_1,7,1,07:00,20,5691.617454,5919.864447,0.961444,0.858371
7_2,7,2,07:15,15,4416.239907,5919.864447,0.746004,0.832642
7_3,7,3,07:30,17,5416.899527,5919.864447,0.915038,0.806473
7_4,7,4,07:45,18,5024.509138,5919.864447,0.848754,0.784791
8_1,8,1,08:00,19,2953.432664,5919.864447,0.498902,0.771451
8_2,8,2,08:15,12,4114.757071,5919.864447,0.695076,0.810948
8_3,8,3,08:30,15,6371.012543,5919.864447,1.076209,0.86716
8_4,8,4,08:45,15,5846.552721,5919.864447,0.987616,0.887669
9_1,9,1,09:00,11,5219.876418,5919.864447,0.881756,0.917448
9_2,9,2,09:15,14,5396.453304,5919.864447,0.911584,0.942846
9_3,9,3,09:30,11,3943.308106,5919.864447,0.666115,0.958831
9_4,9,4,09:45,17,7546.719895,5919.864447,1.274813,1.013531
10_1,10,1,10:00,19,7071.373708,5919.864447,1.194516,1.056245
10_2,10,2,10:15,26,5786.563952,5919.864447,0.977483,1.058593
10_3,10,3,10:30,15,5182.584603,5919.864447,0.875457,1.06118
10_4,10,4,10:45,21,8111.672952,5919.864447,1.370246,1.078874
11_1,11,1,11:00,15,5099.413473,5919.864447,0.861407,1.061871
11_2,11,2,11:15,17,6199.291298,5919.864447,1.047202,1.090145
11_3,11,3,11:30,15,7852.842099,5919.864447,1.326524,1.098733
11_4,11,4,11:45,18,5390.114809,5919.864447,0.910513,1.079527
12_1,12,1,12:00,17,7416.079344,5919.864447,1.252745,1.093946
12_2,12,2,12:15,21,4747.399015,5919.864447,0.801944,1.061497
12_3,12,3,12:30,15,7890.401797,5919.864447,1.332869,1.079497
12_4,12,4,12:45,28,5853.53701,5919.864447,0.988796,1.076717
13_1,13,1,13:00,19,5293.472664,5919.864447,0.894188,1.062697
13_2,13,2,13:15,24,8073.987685,5919.864447,1.363881,1.073492
13_3,13,3,13:30,28,5959.65782,5919.864447,1.006722,1.036886
13_4,13,4,13:45,30,5252.328184,5919.864447,0.887238,1.023326
14_1,14,1,14:00,24,5521.363435,5919.864447,0.932684,1.037714
14_2,14,2,14:15,31,6910.762991,5919.864447,1.167385,1.04003
14_3,14,3,14:30,15,6211.872656,5919.864447,1.049327,1.05962
14_4,14,4,14:45,36,7298.211704,5919.864447,1.232834,1.087541
15_1,15,1,15:00,21,4605.899593,5919.864447,0.778041,1.07461
15_2,15,2,15:15,29,7383.668944,5919.864447,1.24727,1.08286
15_3,15,3,15:30,26,7253.096984,5919.864447,1.225213,1.044527
15_4,15,4,15:45,30,5474.782111,5919.864447,0.924815,0.990086
16_1,16,1,16:00,35,5696.644625,5919.864447,0.962293,0.977702
